"","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"Sample_2",1.17156021611012e-06,5.70381190450383e-06,7.10749513919415e-05,1,5.74924441869439e-05,2.08933771609824e-07,4.27242454922371e-06,4.601723221533e-05,1.81500330671552e-06,9.70600888739431e-06,2.58414027571957e-06,2.77149796988999e-07,0.00535719107497596,3.12419574479258e-08,8.71298953838233e-07,NA,2.25339955475203e-07,3.7251714438481e-05,1.0463762745637e-06,5.84847540663119e-10,3.56515512087333e-10
"Sample_3",1.58090116435712e-06,5.1457988193233e-06,7.18751098430327e-05,1,5.84333219417971e-05,NA,NA,2.61367935044971e-05,1.35304704035104e-06,1.86233638133839e-06,2.2837960753322e-06,1.73999970327768e-07,0.00584406121065997,3.92707403924106e-08,6.29195512461701e-07,2.52934264536225e-06,1.74500598348573e-07,7.28017993090984e-06,8.12999684339746e-08,5.58216842015538e-10,2.18295388405879e-10
"Observed mean",1.37623069023362e-06,5.42480536191357e-06,7.14750306174871e-05,1,5.79628830643705e-05,2.08933771609824e-07,4.27242454922371e-06,3.60770128599136e-05,1.58402517353328e-06,5.78417263436635e-06,2.43396817552588e-06,2.25574883658384e-07,0.00560062614281796,3.52563489201682e-08,7.50247233149967e-07,2.52934264536225e-06,1.99920276911888e-07,2.22659471846954e-05,5.63838121498837e-07,5.71532191339328e-10,2.87405450246606e-10
