"","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1","%RSD","8.01","13.72","8.11","0","19.09","10.62","8.78","17.92","6.9","5.89","14.17","7.23","5.09","5.19","6.41","7.84","5.15","3.58","1","3.3","2.9"
"2","LOD cps/sec","1237.35","5592.66","5909.3","18498.98","6346.15","9076.88","2082.68","15050.68","7174.17","15242.74","4978.29","30603.95","11571.56","29721.67","4116.27","4870.04","23683.05","46663.29","70299.69","55114.16","77806.46"
