"","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"Stand1.csv Mean",0.0696022414059664,0.0217349701802388,0.0308948515521464,1,0.0108687610490283,0.268144941864598,0.0230629562468064,0.375972181784489,0.0603465034004482,0.0597717694178658,0.0197177190057118,0.236184747361382,0.0787679467294356,0.278159627279557,0.0249226209626503,0.014173611873964,0.0927085286267255,0.35369360389332,0.188355688529385,0.265565889570143,0.257968430005928
"Stand2.ods Mean",0.0706142440900618,0.0211758281730804,0.0284447544394531,1,0.0109503235076194,0.274889246584747,0.0228693891339307,0.266397370374329,0.0618365780190289,0.0582671547826591,0.0206059350719194,0.240526033579886,0.0805962200491455,0.283096050365068,0.0252766527775447,0.0147703930630031,0.0954015499442945,0.350896657915005,0.191710479533087,0.265426885695079,0.257959325818416
"Stand3.xls Mean",0.0802623565584561,0.0269675891921285,0.0334617747002249,1,0.0149619206071858,0.324389650755118,0.0266431374485304,0.299178548961373,0.0685818485844853,0.0651045989260432,0.0254912483758418,0.269286261517181,0.0867422166671391,0.306283585158282,0.0279753605747995,0.0164616253454353,0.102364336820171,0.374475705607791,0.191579311299647,0.250625772827527,0.245206619675804
"Stand1.csv SD",0.00201085177634636,0.00275034471873264,0.00215562576915407,0,0.00194389008750017,0.00732697173812889,0.000954123020399238,0.0162026473132095,0.00230558501251859,0.00214755168267073,0.000916534340568475,0.00726916304762198,0.00312924020370279,0.010244936616693,0.0011988564382458,0.00141051295412653,0.00344535123237067,0.01245828720203,0.00662335283880281,0.0104701717303477,0.0132775979028423
"Stand2.ods SD",0.00246023309630393,0.00240788477189419,0.00235954461749576,0,0.00188613508289242,0.00923751771474544,0.00134274877483492,0.00779218665546013,0.00215352594054047,0.0022041627170564,0.00144928861874134,0.00558238062144753,0.00315662732280403,0.0103733905031724,0.00125124401133887,0.00172708043011307,0.00388259073494411,0.0151240139898124,0.00696858465917966,0.0103283329852697,0.00886445973666889
"Stand3.xls SD",0.00282214876770877,0.00971908794198558,0.00341350535929528,0,0.002186826196478,0.0118473418053721,0.00175738067900362,0.0182399874974213,0.00249551585193933,0.00373110210283402,0.00235030560639226,0.0101984039247378,0.00490019867934233,0.0108498067802594,0.00185158437109889,0.00153215982214541,0.00673374036415706,0.0225057689509733,0.0131104064900093,0.0180239227926993,0.0151543223029242
"Total Mean",0.0734929473514948,0.0232927958484826,0.0309337935639415,1,0.0122603350546112,0.289141279734821,0.0241918276097559,0.313849367040064,0.0635883100013208,0.0610478410421894,0.0219383008178243,0.248665680819483,0.0820354611485734,0.289179754267636,0.0260582114383315,0.0151352100941342,0.0968248051303971,0.359688655805372,0.190548493120707,0.260539516030916,0.253711458500049
"Total SD",0.005884276770906,0.00319472057227555,0.0025087368204857,0,0.00233999711155224,0.0307116778478147,0.00212510164487526,0.0562413060056093,0.00438824011175314,0.00359289990067597,0.00310882762590401,0.0179893844458462,0.00417741624291284,0.0150165855497068,0.00166970962747546,0.00118683192199275,0.00498276022508912,0.0128820944762807,0.00190015664042619,0.00858583477283277,0.00736540788356922
