Time;Li7;B11;Mg25;Ca43;Ti49;V51;Cr53;Mn55;Ni60;Cu65;Zn66;Rb85;Sr86;Y89;Mo97;Cd111;Sn118;Ba138;Pb208;Th232;U238
1.8;2085.4;200.3;3391;5425.6;0;1343.2;1684;4521.4;3268.8;2732.3;501;150.3;18451.2;12.5;100;1142.6;80;0;33.3;0;0
3.5;2867.4;140.2;0;5425.6;0;1027.5;1644.2;0;2987.6;2080.5;576.3;60;18551.4;0;150;781.8;150;0;0;0;0
5.3;2782.5;260.4;2712.8;5425.6;4521.4;1303.4;2245.8;3391;3348.8;2080.3;440.6;120.2;19835;0;140.2;1252.8;75;3391;0;0;0
7.1;2306;220.4;0;5425.6;0;1278;1829.8;0;3389;2456.5;476;50;18852.4;0;40;1122.8;175;4521.4;33.3;0;0
8.8;3208.3;100;2712.8;8138.4;0;1077.5;1764.4;2712.8;3549.6;1854.8;551;360.6;18832.2;37.5;25;902;175;2712.8;80;0;0
10.6;2957.8;275.3;3391;5425.6;2712.8;1323.4;2481.3;2712.8;2807.4;2080.3;626;120;20096;0;40;902;250;3391;0;0;0
12.4;2586.6;250.3;0;5425.6;3391;1428.5;1704.2;3391;3028.2;2907.5;325.8;200;19353.6;12.5;133.7;1082.8;150;0;0;0;0
14.1;2857.5;340.4;0;2712.8;4521.4;1378.3;1945;5425.6;2667.2;2080.3;500.8;25;17267.8;12.5;40;1543.8;50;4521.4;0;0;0
15.9;2967.6;180.2;0;5425.6;0;1654.3;1924.8;3391;2667;2205.8;526;80;19514.4;0;50;821.8;62.5;0;0;0;0
17.7;2265.8;275;3391;5425.6;0;1142.6;1965;6782;3128.4;1904.8;676.3;0;19012.6;25;60;927;100;4521.4;100;0;0
19.4;2205.6;200.3;0;2712.8;0;1252.8;1925;4521.4;2747;2055.3;300.4;150.3;19373.8;37.5;0;1062.4;140;0;20;0;0
21.2;2446.2;120;3391;5425.6;0;1278;1865;54364.8;2907.8;2481.3;280.4;160;18009.8;0;40;1082.4;187.5;0;0;0;0
23;2832.5;125;8138.4;5425.6;0;801.8;1564;59790.4;3208.4;2281.3;340.4;160.2;80383.8;25;50;1042.4;200;3391;100;0;0
24.7;2567;300.4;2712.8;674595.3;3391;1052.3;1644.2;59790.4;2867.6;2581.8;375.5;576.3;812364.8;50;60;942;150;24415.3;0;0;0
26.5;3108;922.2;13564.1;2184438;0;1228;2165.6;78834.3;3369;1905;701.6;962.2;1686496;50;100;962.4;137.5;37979.4;233.7;25;0
28.3;3328.8;1543.8;13564.1;2725699.2;3391;1278.3;1684.4;78807.2;2847.6;2030.5;826.8;901.8;1664899.9;87.5;75;1162.8;120;54324.1;20;0;0
30.1;3228.4;1744.4;13564.1;3022263.7;0;1353.3;2506.6;84260;3108;2882.5;721.4;741.4;1830073.6;50;33.3;1323.4;237.5;46172.1;50;0;0
31.8;2546.6;1764.4;10851.3;2761101;0;1303.3;2546.6;89685.6;2887.6;2607;721.6;942;2025516.8;100;75;861.8;80;51651.9;100;0;0
33.6;3007.8;2065.2;16276.9;3555439.8;0;1303.3;1779.5;103303.9;2546.4;2456.5;741.6;1323;2357171.2;66.7;100;881.8;125;59817.5;20;0;0
35.4;3068.2;2606.8;13564.1;3890092.4;0;1328;2406.4;111469.5;3208.6;2155.5;661.4;1122.6;2354227.2;112.5;80;1563.8;137.5;65243.1;60;0;0
37.1;2967.8;3158.3;13564.1;3985312;0;1879.8;2566.6;114182.3;3308.8;2080.3;360.6;721.6;3162183.5;37.5;0;1242.8;220;76094.4;75;0;0
38.9;3068;2667;13564.1;4061460.7;0;962.2;1764.4;114182.3;3308.8;2105.3;751.8;1122.4;2145600;37.5;160;1142.6;137.5;81520;0;0;0
40.7;3208.6;2105.4;13564.1;4115879.8;0;1729;1804.6;125060.7;3348.8;2832.3;551.3;861.8;2196499.2;175;125;1303.2;210;92398.4;40;0;0
42.4;2586.6;2085.4;10851.3;4145775.1;4521.4;1403.5;1724.4;135993.3;3168.4;2631.8;1027.3;841.8;2179270.4;25;75;761.6;150;89658.5;60;25;0
44.2;2947.6;1624;10851.3;3939004.4;3391;1202.8;2386.2;141418.9;3047.8;2682;601;1263;2018342.4;125;40;922;130;86945.6;0;0;0
46;2932.5;1383.6;13564.1;4118592.6;3391;1253;1764.6;144131.7;3048;2055;641;741.6;2118169.6;62.5;25;1042.4;125;86972.8;40;0;0
