Time;Li7;B11;Mg25;Ca43;Ti49;V51;Cr53;Mn55;Ni60;Cu65;Zn66;Rb85;Sr86;Y89;Mo97;Cd111;Sn118;Ba138;Pb208;Th232;U238
1.8;2807.2;100;3391;5425.6;5425.6;1854.8;1724.6;4521.4;4110.8;2606.8;676.3;80;19213.2;25;0;1403.6;162.5;3391;50;0;0
3.5;3349;150;0;0;0;1729.5;1363.4;0;3669.6;2280.8;375.5;275.3;18411;0;267;861.8;160;2712.8;75;0;0
5.3;2646.8;180;2712.8;0;3391;1729.3;1804.6;3391;3028;2231;751.8;175.3;19414;33.3;25;1343.2;50;0;33.3;0;0
7.1;3033;180;0;4521.4;0;2205.8;1784.6;0;3268.8;2807.3;420.6;100;18351;25;100;1122.6;160;0;40;0;0
8.8;2968;140;2712.8;0;0;1980.3;1664.2;2712.8;3408.8;1980;541.2;200.3;19835;37.5;150.3;1463.6;160;6782;0;0;0
10.6;2707.2;125;3391;0;0;1553.8;1945;2712.8;3048;2957.8;275.3;275.3;19273.2;50;40;1202.8;70;0;120;0;0
12.4;2266;220;0;0;0;1929.8;2025.2;3391;3248.8;2707.3;551.3;220.2;18972.6;20;140;962;100;3391;100;0;0
14.1;2927.8;60;0;0;0;1754.3;1865;5425.6;2907.8;2105.5;500.8;50;17889.6;0;25;1403.3;100;4521.4;0;0;0
15.9;2346.2;140;0;0;0;1278;2005;3391;3349;2706.8;400.6;300.4;18190.4;40;0;1162.6;87.5;0;0;0;0
17.7;2947.8;140.2;3391;0;0;1529;2406.3;6782;3308.8;3108.5;400.6;140;18732;12.5;175.3;1223.2;110;2712.8;140.2;0;0
19.4;2606.8;100;0;3391;3391;1453.5;1965;4521.4;3529.4;2055.3;400.8;60;17889.6;0;240.4;942.2;210;0;0;0;0
21.2;2707.2;100;0;0;5425.6;1729.5;2306;3391;3288.6;2832.5;320.4;60;18491.4;12.5;167;1443.6;120;3391;140.2;0;0
23;2546.8;133.3;0;5425.6;0;2005.5;2005.4;0;3148.2;2456.3;400.8;440.8;307556.8;28.6;75;1243;112.5;0;66.7;0;0
24.7;2927.8;676.5;4521.4;43459.3;10173;1779.5;2205.5;6782;3770;5364.5;901.8;621.2;1083840;100;60;922;180;2712.8;280.4;0;0
26.5;2967.6;1584;6782;95138.3;13564.1;1403.3;2346;10851.3;3790;18872.2;1844.6;681.6;1613868.8;100;167;1022.2;190;8138.4;225.3;0;0
28.3;3428.8;2426.2;4521.4;3672497.5;0;1478.5;2386.2;114155.1;3389;11511.4;1704.4;1403.3;2801113.6;87.5;80;1002.2;337.5;62503.2;75;0;0
30.1;3068.2;2346.2;16955.1;2777351.1;4521.4;1704.5;2286;89685.6;3288.8;7881.6;1182.8;841.6;1581408;87.5;150;801.8;200;46199.2;140;0;0
31.8;3108.4;1663.8;13564.1;2709394.8;0;1353.3;1744.2;97851.1;2947.8;5635.2;1242.8;902;1845184;25;150;1102.6;212.5;51624.8;80;0;0
33.6;3459.3;1443.6;16276.9;3201797.4;0;2205.5;1724.2;106016.7;3268.4;4472;781.4;982.2;1958739.2;83.3;25;922;120;54364.8;80;0;0
35.4;2988;1864.8;16276.9;3367740.3;2712.8;1363.4;2145.6;114182.3;3248.6;26908;1052.5;1203;1938790.4;75;250.5;1077.8;237.5;57077.6;140;0;0
37.1;2887.8;1804.4;13564.1;3452054.7;0;1453.5;1564.2;116895.1;3108;3634.8;942.2;1453.5;1972147.2;100;275.3;1263;125;65243.1;140;0;0
38.9;2827.4;1523.8;13564.1;3416733.5;0;2030.5;2230.8;125060.7;3108.2;4261.5;626.3;982.2;2230800;175;100;1062.4;190;67956;100;0;20
40.7;2757.3;1483.6;13564.1;3481977.1;0;1002.4;2185.8;125060.7;3750;3309;826.8;901.8;1820121.6;75;66.7;877;100;70668.8;125;0;0
42.4;2486.6;1524;13564.1;3541848.6;0;1679;1945;127800.6;3870.2;2832.5;902;922.2;1798726.4;137.5;160;1062.6;225;76094.4;60;0;0
