"","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"Mean_Sample3_Rep1.csv",NA,5.54737261829017e-06,7.85597439451747e-05,1,NA,NA,NA,2.77300483224416e-05,NA,2.52201599204827e-06,2.56169551453189e-06,1.96631431304834e-07,0.00584042652468459,3.32127834259592e-08,NA,NA,3.36489739216629e-07,7.27876066050111e-06,9.02180409433798e-08,NA,5.01209900154478e-10
"Mean_Sample3_Rep2.csv",NA,5.17670342429146e-06,6.72689475373482e-05,1,NA,NA,NA,2.49417870534481e-05,NA,1.48572163131742e-06,2.1848921347185e-06,1.5890020587281e-07,0.00568418549061622,4.41898393955777e-08,5.53203829352715e-07,NA,9.9343088834774e-08,7.16442421725925e-06,NA,5.92625465960833e-10,0
"Mean_Sample3_Rep3.csv",NA,4.64215370114439e-06,6.6386543109675e-05,1,5.80427921760896e-05,NA,NA,2.48404408138637e-05,1.33785809432349e-06,NA,1.83523958375224e-06,1.67988064488692e-07,0.00573375054193359,3.84688353974302e-08,7.09097218539575e-07,2.73977550726631e-06,9.86274875131452e-08,7.30088225189288e-06,6.78274902648607e-08,4.59450231119232e-10,1.88713047026138e-10
"SD_Sample3_Rep1.csv",NA,4.80732290723696e-06,1.78723693816302e-05,0,NA,NA,NA,5.9426240481026e-06,NA,2.61270031831523e-06,4.76471798158377e-07,4.77903723226678e-08,0.000855516823914759,1.07956708065171e-08,NA,NA,4.71786161216043e-07,2.2113285662091e-06,4.2921732434677e-09,NA,2.95846096256286e-09
"SD_Sample3_Rep2.csv",NA,2.83508034370539e-06,1.4050362287194e-05,0,NA,NA,NA,5.47306853920255e-06,NA,2.74215469392077e-07,2.4859788858969e-07,5.81041066154645e-08,0.000695492852800445,7.32588425825971e-08,NA,NA,2.08374703769222e-08,2.20396887869573e-06,NA,2.93968883685189e-09,0
"SD_Sample3_Rep3.csv",NA,2.7751698304636e-06,1.41358834505141e-05,0,2.44755177942969e-08,NA,NA,5.80509117845309e-06,2.83944133363127e-07,NA,3.29433299745063e-07,6.01003357901212e-08,0.0006472035173322,1.26642629829214e-08,NA,NA,3.17139600805929e-08,2.24682462382607e-06,2.08631312323607e-08,1.90417366627436e-09,1.34257780600223e-09
"total_mean",NA,5.12207658124201e-06,7.07384115307327e-05,1,5.80427921760896e-05,NA,NA,2.58374253965844e-05,1.33785809432349e-06,2.00386881168285e-06,2.19394241100088e-06,1.74506567222112e-07,0.00575278751907813,3.86238194063224e-08,6.31150523946145e-07,2.73977550726631e-06,1.78153438521516e-07,7.24802237655108e-06,7.90227656041203e-08,5.26037848540032e-10,2.29974315726872e-10
"total_SD",NA,4.55075148712613e-07,6.78782659961171e-06,0,NA,NA,NA,1.63984265089047e-06,NA,7.32770769778164e-07,3.6331251763024e-07,1.96921177521553e-08,7.98412177749681e-05,5.49016889287509e-09,1.10233272636183e-07,NA,1.37123725553504e-07,7.32381756952161e-08,1.5832510219282e-08,9.41691116426074e-11,2.53139704954223e-10
