Time;Li7;B11;Mg25;Ca43;Ti49;V51;Cr53;Mn55;Ni60;Cu65;Zn66;Rb85;Sr86;Y89;Mo97;Cd111;Sn118;Ba138;Pb208;Th232;U238
1.8;5475;175;5425.6;0;0;3649.8;3128.4;3391;4452;1328;651.3;450.8;23906.8;0;100;1122.4;70;0;0;0;0
3.5;5494.8;220.2;0;4521.4;0;3760.3;3133.5;6782;3850.2;1804.5;450.8;360.4;23044;25;50;1423.4;120;2712.8;66.7;0;0
5.3;5455;260.2;4521.4;0;0;2967.8;2486.4;3391;4632.2;1253.3;551;476;24287.4;0;40;1002.2;120;0;0;0;0
7.1;5134;320.4;0;5425.6;5425.6;3529.2;2045.4;4521.4;5174;1453.8;526;350.5;22261.8;0;167;1523.8;150;0;150;0;0
8.8;4792.8;220.2;3391;0;0;3008;2426.2;0;4712.8;1629;475.5;350.5;22482.2;12.5;60;1543.8;100;0;80;0;0
10.6;5173.8;250.3;0;0;0;3885.5;2687;4521.4;4512.2;1127.8;400.8;375.5;22703.2;12.5;160;1042.4;100;0;0;0;0
12.4;5133.6;300.2;4521.4;5425.6;0;3168.4;2426.4;0;5074;1303;340.6;325.5;23425;50;50;1082.4;87.5;0;100;0;0
14.1;4632.2;200.2;0;4521.4;5425.6;3068.2;2345.8;3391;3870.2;1478.8;280.2;801.8;22161.6;37.5;200.3;1323.2;150;0;60;66.7;0
15.9;5053.6;340.6;0;3391;2712.8;3489.2;2666.8;5425.6;4732.6;1854.8;200;375.5;22041.4;0;100;1102.4;120;0;80;0;0
17.7;4793;300.4;0;0;0;3389;2245.6;2712.8;4070.8;1428.5;360.6;350.8;22883.8;12.5;25;1584;30;5425.6;33.3;0;0
19.4;5174;240.2;0;6782;0;2887.6;2807.6;4521.4;3629.6;1328.3;300.4;350.5;21900.8;0;75;1463.6;62.5;3391;33.3;0;0
21.2;4732.6;320.6;4521.4;0;5425.6;2707;2486.6;3391;4030.8;1679.3;220.4;360.4;22181.8;37.5;133.3;1223;80;4521.4;40;0;0
23;4231.2;480.8;0;21702.5;3391;2667.2;2587;4521.4;4050.8;2486.6;681.4;340.6;694092.8;75;125;1122.6;183.3;0;33.3;0;0
24.7;5193.8;781.6;0;86972.8;8138.4;2847.6;2386.4;8138.4;4111;2682;721.2;500.8;1625056;62.5;50;1202.6;160;8138.4;125;0;0
26.5;5013.6;1463.6;2712.8;2241462;3391;3108.4;2326;78807.2;4050.8;2155.5;861.8;641.6;2072960;125;120;1263;225;18989.7;33.3;0;0
