Time;Li7;B11;Mg25;Ca43;Ti49;V51;Cr53;Mn55;Ni60;Cu65;Zn66;Rb85;Sr86;Y89;Mo97;Cd111;Sn118;Ba138;Pb208;Th232;U238
1.8;4833.2;175;5425.6;5425.6;0;2165.4;1664;3391;3669.8;2406.3;380.6;450.8;24768.6;28.6;40;1704.4;90;3391;167;0;0
3.5;4832.8;250.3;0;5425.6;0;2286;3007.8;6782;3990.6;1328.3;576;240;22623;12.5;40;1182.6;130;0;25;0;0
5.3;4732.6;200.3;4521.4;5425.6;3391;1864.6;2165.2;3391;5189;1603.8;180;260;25009.6;0;125;1142.8;100;4521.4;0;0;0
7.1;3690;140;0;5425.6;0;2180.5;2245.8;4521.4;3529.6;2080.5;350.5;320.4;21981;71.4;25;821.8;100;0;150;0;0
8.8;4612.4;320.4;3391;6782;0;2331;2326;0;3529.2;1629.3;626.3;350.5;22422.4;37.5;60;1363.4;130;0;0;0;0
10.6;3950.4;180;0;6782;0;2105.6;2025.2;4521.4;3890.4;1804.5;626.3;275.5;23585.6;0;100;1002.2;120;0;0;0;0
12.4;4131.2;375.5;4521.4;5425.6;0;2581.8;2566.6;0;3368.8;2030.3;520.8;350.8;23425.2;0;100.2;1403.4;87.5;4521.4;120;0;0
14.1;4672.4;320.2;0;5425.6;0;1704.2;2205.8;3391;3830.2;1980;576.3;280.4;22763.4;50;100;1483.6;66.7;3391;25;0;0
15.9;4552.2;140;0;5425.6;4521.4;2732.3;1965;5425.6;3409.2;1704.3;400.7;320.4;21559.8;50;200;922;150;0;40;0;0
17.7;4311.4;200.2;0;8138.4;0;2025.4;1985;2712.8;3449.2;1880;320.4;320.4;22843.4;25;100.3;1102.6;80;0;25;0;0
19.4;4050.8;240.2;0;5425.6;4521.4;2256;2266;4521.4;3749.8;1980;200.4;280.4;22502.4;12.5;60;1383.4;130;0;0;0;0
21.2;4752.8;300.4;6782;8138.4;3391;2381.3;1944.8;65216;3970.8;1528.8;360.4;150;22081.2;12.5;150.3;1423.6;137.5;0;100;0;0
23;4672.8;460.6;10173;1370974.5;0;2306;2326;73354.4;3028;2230.8;576.3;450.8;1550745.6;71.4;160;1403.6;100;10851.3;33.3;0;25
24.7;4251.6;1303.2;13564.1;2423735.8;0;1784.6;2065.2;76094.4;3589.6;2055.5;460.6;440.8;2155993.6;25;100;1282.8;140;13564.1;33.3;0;0
26.5;4692.4;1985.2;13564.1;2831770.4;0;2105.5;2687.2;78807.2;3208.6;1879.8;651.3;751.8;2496620.8;112.5;200.2;1162.6;110;21702.5;25;0;0
28.3;5354.4;2366.2;13564.1;3876474;0;1744.6;2747.4;86972.8;3790;2030.3;501;902;3070451.2;75;160.2;1263;190;27128.1;0;0;0
30.1;4592.4;3128.2;20346.1;4213812.3;0;2632;2065.2;92425.5;4050.8;2255.8;681.4;601.3;3329956.3;100;0;1022.2;200;27128.1;33.3;33.3;0
31.8;5715.6;2606.8;13564.1;4583731.8;0;2230.8;2807.2;92425.5;3770.2;1904.8;581.2;621;3359580.1;87.5;20;781.8;120;27128.1;0;0;0
33.6;4431.8;2767.4;16276.9;4923836.5;0;1944.8;2165.6;92425.5;3890.2;2030;661.4;420.6;3152780.8;83.3;140;882;160;29840.9;100;0;0
35.4;4512.2;2446.4;16276.9;4970117.1;5425.6;2125.4;2707;92398.4;3208.4;2030.3;721.4;902;3069568;112.5;20;1022.4;137.5;32553.8;40;0;0
37.1;5615.2;2566.8;16276.9;5130553;3391;1764.4;2526.4;92425.5;3629.6;1904.8;621;1002;3441894.9;62.5;100;1363.2;200;29840.9;0;0;0
38.9;5133.8;2566.8;16276.9;5035387.4;0;1844.6;2326;95138.3;4371.8;1754.3;1077.5;1127.5;2941184;62.5;33.3;862;187.5;32553.8;100;0;0
40.7;4432;2286;13564.1;4961897.7;2712.8;2180.5;2667.2;97851.1;3790.2;2255.8;741.6;902;2860377.6;75;150;1082.6;160;32553.8;66.7;25;0
42.4;4592.4;1684.2;13564.1;4994613.6;0;2381;2506.4;97878.3;4131.2;1654;541;1082.4;2813555.2;100;80;1122.6;137.5;35266.6;100;0;0
44.2;4371.8;1884.8;13564.1;4771512.1;0;2130.5;2446.2;105989.6;3890.6;1729.5;601;726.8;2742387.2;87.5;60;1203;87.5;37979.4;33.3;0;0
46;4431.8;1503.8;13564.1;4815025.8;4521.4;2080.3;2125.4;106016.7;3188.4;1779.5;420.6;801.6;2822758.4;128.6;100;1202.8;100;37979.4;200.3;0;0
47.7;4411.8;1824.8;16955.1;4825850.3;0;2782.5;1925;114209.4;3629.8;1628.8;661.4;902.2;2709388.8;112.5;66.7;1323.2;120;43459.3;75;0;0
49.5;5053.8;2265.8;13564.1;4899367;0;1804.6;2606.8;111442.3;3950.6;2230.8;701.6;902;2661164.8;87.5;50;1463.6;130;40719.3;60;0;0
51.3;4412;1944.8;16276.9;4738877;0;2682.3;2286;114182.3;3890.4;2230.8;501;480.8;2649292.8;75;75;1162.6;200;43459.3;20;0;0
53;5053.8;2325.8;13564.1;4926495.6;0;1824.6;2246;116895.1;3108.2;1980.3;581.2;681.4;2721945.6;87.5;33.3;922;225;57077.6;0;0;0
54.8;5113.8;2085.2;13564.1;4844975;0;2305.8;2747.2;125060.7;3569.4;2155.5;561.2;1122.8;2675942.4;112.5;75;1022.4;120;51651.9;0;0;0
56.6;4713;2205.6;13564.1;5220428;0;1629;2707.2;119607.9;3810;1905;776.5;881.8;2673580.8;25;50;982.2;200;54364.8;66.7;0;0
58.3;4853;2606.8;16276.9;5209495.9;0;2085.4;2306;111469.5;3288.4;1679.3;450.8;1463.6;2609037.1;87.5;75;1584;110;48912;60;0;0
60.1;5374.4;2707;16955.1;5255722;0;1824.8;2346;119607.9;3890.4;1754.5;626.3;982.2;2662809.6;75;100;1243;200;43459.3;0;0;0
61.9;4372;3449;13564.1;4902052.8;0;2456.5;2526.6;111442.3;3288.8;2030;726.5;1182.8;2529926.4;112.5;150;1283.2;140;43432.1;66.7;0;0
63.6;4552.4;2988;13564.1;5092519.4;4521.4;1784.4;2005;114155.1;3188.4;1704.5;525.8;962.2;1989262;112.5;75;1323.2;125;40692.2;0;0;0
65.4;5334.6;2185.6;13564.1;4795981.7;0;1985.2;2466.4;122347.8;3368.6;2180.5;877;922;2494278.4;37.5;33.3;1082.2;225;40719.3;80;0;0
67.2;4712.8;2606.6;16276.9;4967377.2;0;2230.8;2185.6;119607.9;3629.8;1629;927.3;1283.2;2547532.8;150;100;1162.8;212.5;40692.2;0;0;0
68.9;4793;2466.6;16955.1;4883063.2;0;1764.6;2732;125060.7;3489.6;1930;977.3;1042.6;2586745.6;125;75;1263;140;37979.4;33.3;0;0
70.7;4552.4;2145.6;13564.1;4872211.5;3391;1528.8;2546.6;133253.4;3409.2;2180.8;952.3;801.6;2598342.4;87.5;33.3;1142.6;140;38006.5;33.3;0;0
72.5;4873.2;2185.8;16276.9;5043579.9;0;1784.6;2526.6;122320.7;3328.6;1905;681.4;962;2625638.4;112.5;0;1343.4;170;37979.4;0;0;0
74.2;4933.4;2025.4;16276.9;5029961.7;0;1764.4;2325.8;130486.3;4030.8;1980.3;521;882;2667148.8;75;25;1182.6;112.5;32553.8;0;0;0
76;4432;2847.8;16276.9;5008178;0;2456.5;2085.4;127773.5;3449;1779.5;626.3;1102.6;2768217.6;50;40;1202.8;140;32553.8;33.3;0;0
77.8;4913.4;2787.2;16276.9;5032647.6;2712.8;1584;2586.8;116868;3429;1905;902;801.8;2748620.8;112.5;100.2;1042.4;175;35266.6;75;0;0
79.5;4793;2105.4;10851.3;4961951.5;0;1624;2787.4;114155.1;3689.8;2030;581.2;801.6;2788992;75;80;902;40;37979.4;0;0;0
81.3;4512.2;2486.4;16276.9;5397249.5;0;1443.6;1664;108756.7;3669.8;2356;480.8;1323.2;3064883.2;112.5;50;1082.6;137.5;40719.3;0;0;0
83.1;4592.2;2406.2;16276.9;5312881;0;1383.2;2827.4;108729.5;4211.2;2055.3;826.8;882.2;2843097.6;125;120.2;1142.8;240;43432.1;0;0;0
84.8;5254.4;2246;13564.1;5127840.4;0;2125.6;2406.4;108729.5;3669.6;2030.3;581.2;902;2782604.8;87.5;100;1223;112.5;38033.6;33.3;0;0
